Xasthur,Screaming at Forgotten Tears,depressing
Xasthur,Telepathic with the Deceased,depressing
Sodom,Agent Orange,aggressive
Bolt Thrower,The IVth Crusade,depressing
Acid Bath,The Bones Of Babydolls,depressing
My Dying Bride,The Dreadful Hours,depressing
Paradise Lost,Gothic,depressing
Metallica,Enter Sandman,energetic
Slayer,Raining Blood,energetic
Anthrax,Caught In A Mosh,energetic
Pantera,Walk,energetic
Sepultura,Roots Bloody Roots,energetic
Pink Floyd,Wish You Were Here,mellow
The Doors,Riders on the Storm,mellow
Led Zeppelin,Going to California,mellow
Black Sabbath,Planet Caravan,mellow
Tool,Lateralus,mellow
Napalm Death,Scum,aggressive
Cannibal Corpse,Hammer Smashed Face,aggressive
Dying Fetus,Pissing in the Mainstream,aggressive
Behemoth,Blow Your Trumpets Gabriel,aggressive
Immolation,Kingdom of Conspiracy,aggressive
Opeth,Harvest,reflective
Porcupine Tree,Arriving Somewhere But Not Here,reflective
Opeth,Ghost of Perdition,reflective
Anathema,One Last Goodbye,reflective
Agalloch,Falling Snow,reflective
Candlemass, Epicus Doomicus Metallicus, epic
